condition,task_family,task_id,task_type,graph_name,run_idx,raw_answer,parsed_answer,expected_answer,normalized_model_answer,correct
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,1,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,2,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,3,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,4,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,5,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
