task_id,task_type,graph_name,run_idx,question,expected_top_3,raw_answer,parsed_answer,predicted_top_3,ranking_accuracy,ranking_num_correct,ranking_total_positions,ranking_correct_positions,overall_correct,model,temperature
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,1,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,2,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,3,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,4,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,5,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,1,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,2,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,3,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,4,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,5,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
