task_id,task_type,graph_name,run_idx,raw_answer,parsed_answer,expected_top_3,predicted_top_3,ranking_accuracy,overall_correct
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,1,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,2,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,3,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,4,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,5,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_1_T7,Task_7_counterfactual_choice,graph_1,1,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_1_T7,Task_7_counterfactual_choice,graph_1,2,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_1_T7,Task_7_counterfactual_choice,graph_1,3,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_1_T7,Task_7_counterfactual_choice,graph_1,4,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_1_T7,Task_7_counterfactual_choice,graph_1,5,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,1
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,1,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,2,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,3,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,4,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,5,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_2_T7,Task_7_counterfactual_choice,graph_2,1,"{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_2_T7,Task_7_counterfactual_choice,graph_2,2,"{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_2_T7,Task_7_counterfactual_choice,graph_2,3,"{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_2_T7,Task_7_counterfactual_choice,graph_2,4,"{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_2_T7,Task_7_counterfactual_choice,graph_2,5,"{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,1
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,1,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,2,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,3,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,4,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,5,"{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
graph_3_T7,Task_7_counterfactual_choice,graph_3,1,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
graph_3_T7,Task_7_counterfactual_choice,graph_3,2,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
graph_3_T7,Task_7_counterfactual_choice,graph_3,3,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
graph_3_T7,Task_7_counterfactual_choice,graph_3,4,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
graph_3_T7,Task_7_counterfactual_choice,graph_3,5,"{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,1
