task_id,task_type,pair_id,graph_A,graph_B,question,expected_answer,expected_details,metadata
S1_p1,S1_private_space_exposure,S1_pair,graph_1,graph_4,"Between Layout A and Layout B, which layout better protects private spaces from exposure through shared or guest-facing spaces?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""paraphrase_index"": 1, ""seed"": 42, ""graph_A"": ""graph_1"", ""graph_B"": ""graph_4""}"
S1_p2,S1_private_space_exposure,S1_pair,graph_1,graph_4,"Between Layout A and Layout B, which layout gives private rooms less exposure to shared circulation or guest-facing areas?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""paraphrase_index"": 2, ""seed"": 42, ""graph_A"": ""graph_1"", ""graph_B"": ""graph_4""}"
S1_p3,S1_private_space_exposure,S1_pair,graph_1,graph_4,"Between Layout A and Layout B, which layout better avoids routing access to private spaces through shared spaces?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""paraphrase_index"": 3, ""seed"": 42, ""graph_A"": ""graph_1"", ""graph_B"": ""graph_4""}"
S1_p4,S1_private_space_exposure,S1_pair,graph_1,graph_4,"Between Layout A and Layout B, which layout keeps private spaces more separated from guest-facing paths?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""paraphrase_index"": 4, ""seed"": 42, ""graph_A"": ""graph_1"", ""graph_B"": ""graph_4""}"
S1_p5,S1_private_space_exposure,S1_pair,graph_1,graph_4,"Between Layout A and Layout B, which layout reduces the number of shared spaces someone passes through before reaching private rooms?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""paraphrase_index"": 5, ""seed"": 42, ""graph_A"": ""graph_1"", ""graph_B"": ""graph_4""}"
S2_p1,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,"Between Layout A and Layout B, which layout is more efficient at reducing bottleneck effects in circulation?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""paraphrase_index"": 1, ""seed"": 42, ""graph_A"": ""graph_4"", ""graph_B"": ""graph_3""}"
S2_p2,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,"Between Layout A and Layout B, which layout avoids concentrating movement through a single space more effectively?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""paraphrase_index"": 2, ""seed"": 42, ""graph_A"": ""graph_4"", ""graph_B"": ""graph_3""}"
S2_p3,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,"Between Layout A and Layout B, which layout distributes movement more evenly across the plan?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""paraphrase_index"": 3, ""seed"": 42, ""graph_A"": ""graph_4"", ""graph_B"": ""graph_3""}"
S2_p4,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,"Between Layout A and Layout B, which layout is less likely to create a circulation bottleneck?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""paraphrase_index"": 4, ""seed"": 42, ""graph_A"": ""graph_4"", ""graph_B"": ""graph_3""}"
S2_p5,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,"Between Layout A and Layout B, which layout avoids over-reliance on one space for movement?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""paraphrase_index"": 5, ""seed"": 42, ""graph_A"": ""graph_4"", ""graph_B"": ""graph_3""}"
S3_p1,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,"Between Layout A and Layout B, which layout provides better access from valid entry spaces to the rest of the layout?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""paraphrase_index"": 1, ""seed"": 42, ""graph_A"": ""graph_3"", ""graph_B"": ""graph_1""}"
