task_id,task_type,graph_name,run_idx,question,expected_answer,raw_answer,parsed_answer,normalized_model_answer,correct,model,temperature
graph_1_L1,L1_direct_adjacency,graph_1,1,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_1_L1,L1_direct_adjacency,graph_1,2,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_1_L1,L1_direct_adjacency,graph_1,3,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_1_L1,L1_direct_adjacency,graph_1,4,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_1_L1,L1_direct_adjacency,graph_1,5,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_1_L2,L2_degree_comparison,graph_1,1,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
graph_1_L2,L2_degree_comparison,graph_1,2,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
graph_1_L2,L2_degree_comparison,graph_1,3,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
graph_1_L2,L2_degree_comparison,graph_1,4,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
graph_1_L2,L2_degree_comparison,graph_1,5,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
graph_1_L3,L3_two_step_reachability,graph_1,1,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_1_L3,L3_two_step_reachability,graph_1,2,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_1_L3,L3_two_step_reachability,graph_1,3,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_1_L3,L3_two_step_reachability,graph_1,4,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_1_L3,L3_two_step_reachability,graph_1,5,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1,claude-sonnet-4-6,0.2
graph_2_L1,L1_direct_adjacency,graph_2,1,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_2_L1,L1_direct_adjacency,graph_2,2,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_2_L1,L1_direct_adjacency,graph_2,3,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_2_L1,L1_direct_adjacency,graph_2,4,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_2_L1,L1_direct_adjacency,graph_2,5,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_2_L2,L2_degree_comparison,graph_2,1,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_2_L2,L2_degree_comparison,graph_2,2,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_2_L2,L2_degree_comparison,graph_2,3,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_2_L2,L2_degree_comparison,graph_2,4,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_2_L2,L2_degree_comparison,graph_2,5,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","{""answer"": ""tie""}","{""answer"": ""tie""}","""tie""",1,claude-sonnet-4-6,0.2
graph_2_L3,L3_two_step_reachability,graph_2,1,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_2_L3,L3_two_step_reachability,graph_2,2,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_2_L3,L3_two_step_reachability,graph_2,3,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_2_L3,L3_two_step_reachability,graph_2,4,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_2_L3,L3_two_step_reachability,graph_2,5,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L1,L1_direct_adjacency,graph_3,1,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L1,L1_direct_adjacency,graph_3,2,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L1,L1_direct_adjacency,graph_3,3,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L1,L1_direct_adjacency,graph_3,4,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L1,L1_direct_adjacency,graph_3,5,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1,claude-sonnet-4-6,0.2
graph_3_L2,L2_degree_comparison,graph_3,1,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","{""answer"": ""living_room""}","{""answer"": ""living_room""}","""living_room""",1,claude-sonnet-4-6,0.2
