task_id,graph_name,task_type,question,expected_top_3,expected_answer
graph_1_T6,graph_1,Task_6_counterfactual_mean_depth,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}"
graph_1_T7,graph_1,Task_7_counterfactual_choice,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}"
graph_2_T6,graph_2,Task_6_counterfactual_mean_depth,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}"
graph_2_T7,graph_2,Task_7_counterfactual_choice,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}"
graph_3_T6,graph_3,Task_6_counterfactual_mean_depth,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}"
graph_3_T7,graph_3,Task_7_counterfactual_choice,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}"
graph_4_T6,graph_4,Task_6_counterfactual_mean_depth,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""dining_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}"
graph_4_T7,graph_4,Task_7_counterfactual_choice,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""kitchen"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}"
graph_5_T6,graph_5,Task_6_counterfactual_mean_depth,"After adding a new bedroom to hall_1, return top 3 lowest mean depth spaces.","[""stair"", ""living_room_1"", ""living_room_2""]","{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}"
graph_5_T7,graph_5,Task_7_counterfactual_choice,"After adding a new bedroom to hall_1, return top 3 highest choice spaces.","[""living_room_1"", ""hall_1"", ""living_room_2""]","{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}"
