task_id,task_number,task_type,graph_name,run_idx,raw_answer,parsed_answer,expected_metric_values,expected_top_3,predicted_metric_values,predicted_top_3,metric_accuracy,ranking_accuracy,overall_correct
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,1,"{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,2,"{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,3,"{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,4,"{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,5,"{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
graph_1_T5_choice,5,T5_choice,graph_1,1,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
graph_1_T5_choice,5,T5_choice,graph_1,2,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
graph_1_T5_choice,5,T5_choice,graph_1,3,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
graph_1_T5_choice,5,T5_choice,graph_1,4,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
graph_1_T5_choice,5,T5_choice,graph_1,5,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,1.0,1
