condition,task_family,task_id,task_number,task_type,graph_name,run_idx,question,expected_metric_values,expected_top_3,raw_answer,parsed_answer,predicted_metric_values,predicted_top_3,metric_accuracy,metric_num_correct,metric_total_nodes,metric_correct_nodes,ranking_accuracy,ranking_num_correct,ranking_total_positions,ranking_correct_positions,overall_correct,per_node_relative_errors,model,temperature,rel_tolerance
kg,global,graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,1,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
kg,global,graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,2,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
kg,global,graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,3,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
kg,global,graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,4,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
kg,global,graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,5,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
kg,global,graph_1_T5_choice,5,T5_choice,graph_1,1,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
kg,global,graph_1_T5_choice,5,T5_choice,graph_1,2,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
kg,global,graph_1_T5_choice,5,T5_choice,graph_1,3,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
kg,global,graph_1_T5_choice,5,T5_choice,graph_1,4,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
kg,global,graph_1_T5_choice,5,T5_choice,graph_1,5,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",1.0,9,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""hall"", ""kitchen"", ""living_room"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",1,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.0, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.0, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
