task_id,task_type,pair_id,graph_A,graph_B,run_idx,raw_answer,parsed_answer,expected_answer,predicted_answer,criterion_used,overall_correct
S1_p1,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""A""}","{""answer"": ""A"", ""criterion_used"": """"}",B,A,,0
S1_p2,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""B""}","{""answer"": ""B"", ""criterion_used"": """"}",B,B,,1
S1_p3,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""A"", ""criterion_used"": ""fewer shared/guest-facing intermediate spaces on entry-to-private shortest paths""}","{""answer"": ""A"", ""criterion_used"": ""fewer shared/guest-facing intermediate spaces on entry-to-private shortest paths""}",B,A,fewer shared/guest-facing intermediate spaces on entry-to-private shortest paths,0
S1_p4,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing intermediate spaces on front_porch-to-private shortest paths""}","{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing intermediate spaces on front_porch-to-private shortest paths""}",B,A,Fewer shared/guest-facing intermediate spaces on front_porch-to-private shortest paths,0
S1_p5,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""A""}","{""answer"": ""A"", ""criterion_used"": """"}",B,A,,0
S2_p1,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) indicating weaker bottlenecking""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) indicating weaker bottlenecking""}",B,B,lower maximum choice (betweenness centrality) indicating weaker bottlenecking,1
S2_p2,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) to avoid movement bottlenecking""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) to avoid movement bottlenecking""}",B,B,lower maximum choice (betweenness centrality) to avoid movement bottlenecking,1
S2_p3,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""B"", ""criterion_used"": ""lower maximum betweenness centrality (choice) indicating weaker bottlenecking""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum betweenness centrality (choice) indicating weaker bottlenecking""}",B,B,lower maximum betweenness centrality (choice) indicating weaker bottlenecking,1
S2_p4,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""B"", ""criterion_used"": ""lower maximum betweenness centrality (choice) indicating weaker circulation bottleneck""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum betweenness centrality (choice) indicating weaker circulation bottleneck""}",B,B,lower maximum betweenness centrality (choice) indicating weaker circulation bottleneck,1
S2_p5,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) indicating weaker bottlenecking""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) indicating weaker bottlenecking""}",B,B,lower maximum choice (betweenness centrality) indicating weaker bottlenecking,1
S3_p1,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from valid entries to all other spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from valid entries to all other spaces""}",A,A,lower average shortest-path distance from valid entries to all other spaces,1
S3_p2,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}",A,A,lower average shortest-path distance from entries to all non-entry spaces,1
S3_p3,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}",A,A,lower average shortest-path distance from entries to all non-entry spaces,1
S3_p4,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}",A,A,lower average shortest-path distance from entries to all non-entry spaces,1
S3_p5,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entry points to all non-entry spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entry points to all non-entry spaces""}",A,A,lower average shortest-path distance from entry points to all non-entry spaces,1
