task_id,task_type,pair_id,graph_A,graph_B,run_idx,question,expected_answer,expected_details,raw_answer,parsed_answer,predicted_answer,criterion_used,overall_correct,model,temperature,seed
S1_p1,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout better protects private spaces from exposure through shared or guest-facing spaces?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A""}","{""answer"": ""A"", ""criterion_used"": """"}",A,,0,claude-sonnet-4-6,0.2,42
S1_p2,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout gives private rooms less exposure to shared circulation or guest-facing areas?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""B""}","{""answer"": ""B"", ""criterion_used"": """"}",B,,1,claude-sonnet-4-6,0.2,42
S1_p3,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout better avoids routing access to private spaces through shared spaces?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A"", ""criterion_used"": ""fewer shared/guest-facing intermediate spaces on entry-to-private shortest paths""}","{""answer"": ""A"", ""criterion_used"": ""fewer shared/guest-facing intermediate spaces on entry-to-private shortest paths""}",A,fewer shared/guest-facing intermediate spaces on entry-to-private shortest paths,0,claude-sonnet-4-6,0.2,42
S1_p4,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout keeps private spaces more separated from guest-facing paths?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing intermediate spaces on front_porch-to-private shortest paths""}","{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing intermediate spaces on front_porch-to-private shortest paths""}",A,Fewer shared/guest-facing intermediate spaces on front_porch-to-private shortest paths,0,claude-sonnet-4-6,0.2,42
S1_p5,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout reduces the number of shared spaces someone passes through before reaching private rooms?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A""}","{""answer"": ""A"", ""criterion_used"": """"}",A,,0,claude-sonnet-4-6,0.2,42
S2_p1,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout is more efficient at reducing bottleneck effects in circulation?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) indicating weaker bottlenecking""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) indicating weaker bottlenecking""}",B,lower maximum choice (betweenness centrality) indicating weaker bottlenecking,1,claude-sonnet-4-6,0.2,42
S2_p2,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout avoids concentrating movement through a single space more effectively?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) to avoid movement bottlenecking""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) to avoid movement bottlenecking""}",B,lower maximum choice (betweenness centrality) to avoid movement bottlenecking,1,claude-sonnet-4-6,0.2,42
S2_p3,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout distributes movement more evenly across the plan?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""B"", ""criterion_used"": ""lower maximum betweenness centrality (choice) indicating weaker bottlenecking""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum betweenness centrality (choice) indicating weaker bottlenecking""}",B,lower maximum betweenness centrality (choice) indicating weaker bottlenecking,1,claude-sonnet-4-6,0.2,42
S2_p4,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout is less likely to create a circulation bottleneck?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""B"", ""criterion_used"": ""lower maximum betweenness centrality (choice) indicating weaker circulation bottleneck""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum betweenness centrality (choice) indicating weaker circulation bottleneck""}",B,lower maximum betweenness centrality (choice) indicating weaker circulation bottleneck,1,claude-sonnet-4-6,0.2,42
S2_p5,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout avoids over-reliance on one space for movement?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) indicating weaker bottlenecking""}","{""answer"": ""B"", ""criterion_used"": ""lower maximum choice (betweenness centrality) indicating weaker bottlenecking""}",B,lower maximum choice (betweenness centrality) indicating weaker bottlenecking,1,claude-sonnet-4-6,0.2,42
S3_p1,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout provides better access from valid entry spaces to the rest of the layout?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from valid entries to all other spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from valid entries to all other spaces""}",A,lower average shortest-path distance from valid entries to all other spaces,1,claude-sonnet-4-6,0.2,42
S3_p2,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout places entries more efficiently for reaching rooms?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}",A,lower average shortest-path distance from entries to all non-entry spaces,1,claude-sonnet-4-6,0.2,42
S3_p3,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout provides shorter overall access from entries to spaces?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}",A,lower average shortest-path distance from entries to all non-entry spaces,1,claude-sonnet-4-6,0.2,42
S3_p4,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout gives more efficient entry-to-room access?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entries to all non-entry spaces""}",A,lower average shortest-path distance from entries to all non-entry spaces,1,claude-sonnet-4-6,0.2,42
S3_p5,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout has better overall accessibility from entry points?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entry points to all non-entry spaces""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from entry points to all non-entry spaces""}",A,lower average shortest-path distance from entry points to all non-entry spaces,1,claude-sonnet-4-6,0.2,42
