task_id,task_number,task_type,graph_name,run_idx,question,expected_metric_values,expected_top_3,raw_answer,parsed_answer,predicted_metric_values,predicted_top_3,metric_accuracy,metric_num_correct,metric_total_nodes,metric_correct_nodes,ranking_accuracy,ranking_num_correct,ranking_total_positions,ranking_correct_positions,overall_correct,per_node_relative_errors,model,temperature,rel_tolerance
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,1,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.5, ""living_room"": 1.625, ""service_porch"": 3.5}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.5, ""living_room"": 1.625, ""service_porch"": 3.5}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.5, ""living_room"": 1.625, ""service_porch"": 3.5}","[""living_room"", ""hall"", ""dining_room""]",0.5555555555555556,5,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",0,"{""bath_room"": 0.045454545454545456, ""bed_room_1"": 0.045454545454545456, ""bed_room_2"": 0.045454545454545456, ""dining_room"": 0.058823529411764705, ""front_porch"": 0.09523809523809523, ""hall"": 0.0, ""kitchen"": 0.09090909090909091, ""living_room"": 0.07142857142857142, ""service_porch"": 0.034482758620689655}",claude-sonnet-4-6,0.2,0.05
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,2,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.0, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""dining_room"", ""hall""]}","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.0, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""dining_room"", ""hall""]}","{""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.0, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}","[""living_room"", ""dining_room"", ""hall""]",0.5555555555555556,5,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""service_porch""]",0.3333333333333333,1,3,"[""pos_1:living_room""]",0,"{""bath_room"": 0.045454545454545456, ""bed_room_1"": 0.045454545454545456, ""bed_room_2"": 0.045454545454545456, ""dining_room"": 0.058823529411764705, ""front_porch"": 0.09523809523809523, ""hall"": 0.06666666666666667, ""kitchen"": 0.045454545454545456, ""living_room"": 0.07142857142857142, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,3,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",0.6666666666666666,6,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall"", ""kitchen"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",0,"{""bath_room"": 0.045454545454545456, ""bed_room_1"": 0.045454545454545456, ""bed_room_2"": 0.045454545454545456, ""dining_room"": 0.058823529411764705, ""front_porch"": 0.09523809523809523, ""hall"": 0.0, ""kitchen"": 0.045454545454545456, ""living_room"": 0.07142857142857142, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,4,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""dining_room"", ""hall""]}","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""dining_room"", ""hall""]}","{""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}","[""living_room"", ""dining_room"", ""hall""]",0.5555555555555556,5,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""service_porch""]",0.3333333333333333,1,3,"[""pos_1:living_room""]",0,"{""bath_room"": 0.045454545454545456, ""bed_room_1"": 0.045454545454545456, ""bed_room_2"": 0.045454545454545456, ""dining_room"": 0.058823529411764705, ""front_porch"": 0.09523809523809523, ""hall"": 0.13333333333333333, ""kitchen"": 0.045454545454545456, ""living_room"": 0.07142857142857142, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,5,"For the given layout graph, compute the mean depth of each space. Return two things: (1) the mean depth value for every space, and (2) the top three spaces with the lowest mean depth.","{""bath_room"": 2.75, ""bed_room_1"": 2.75, ""bed_room_2"": 2.75, ""dining_room"": 2.125, ""front_porch"": 2.625, ""hall"": 1.875, ""kitchen"": 2.75, ""living_room"": 1.75, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}","[""living_room"", ""hall"", ""dining_room""]",0.5555555555555556,5,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",0,"{""bath_room"": 0.045454545454545456, ""bed_room_1"": 0.045454545454545456, ""bed_room_2"": 0.045454545454545456, ""dining_room"": 0.058823529411764705, ""front_porch"": 0.09523809523809523, ""hall"": 0.13333333333333333, ""kitchen"": 0.045454545454545456, ""living_room"": 0.07142857142857142, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
graph_1_T5_choice,5,T5_choice,graph_1,1,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 16.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 16.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 16.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",0.6666666666666666,6,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""front_porch"", ""kitchen"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",0,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.4166666666666667, ""front_porch"": 0.0, ""hall"": 0.1111111111111111, ""kitchen"": 0.0, ""living_room"": 0.05263157894736842, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
graph_1_T5_choice,5,T5_choice,graph_1,2,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",0.7777777777777778,7,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""front_porch"", ""hall"", ""kitchen"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",0,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.16666666666666666, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.05263157894736842, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
graph_1_T5_choice,5,T5_choice,graph_1,3,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",0.7777777777777778,7,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""front_porch"", ""hall"", ""kitchen"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",0,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.16666666666666666, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.05263157894736842, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
graph_1_T5_choice,5,T5_choice,graph_1,4,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 21.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 21.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 21.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",0.7777777777777778,7,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""front_porch"", ""hall"", ""kitchen"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",0,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.4166666666666667, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.10526315789473684, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
graph_1_T5_choice,5,T5_choice,graph_1,5,"For the given layout graph, compute the unnormalized choice value of each space. Choice is defined as the number of shortest paths between all pairs of spaces that pass through that space. Return two things: (1) the choice value for every space, and (2) the top three spaces with the highest choice.","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 12.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 19.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]","{""metric_values"": {""bath_room"": 0, ""bed_room_1"": 0, ""bed_room_2"": 0, ""dining_room"": 10, ""front_porch"": 0, ""hall"": 18, ""kitchen"": 7, ""living_room"": 23, ""service_porch"": 0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0, ""bed_room_1"": 0, ""bed_room_2"": 0, ""dining_room"": 10, ""front_porch"": 0, ""hall"": 18, ""kitchen"": 7, ""living_room"": 23, ""service_porch"": 0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 23.0, ""service_porch"": 0.0}","[""living_room"", ""hall"", ""dining_room""]",0.7777777777777778,7,9,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""front_porch"", ""hall"", ""kitchen"", ""service_porch""]",1.0,3,3,"[""pos_1:living_room"", ""pos_2:hall"", ""pos_3:dining_room""]",0,"{""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 0.16666666666666666, ""front_porch"": 0.0, ""hall"": 0.0, ""kitchen"": 0.0, ""living_room"": 0.21052631578947367, ""service_porch"": 0.0}",claude-sonnet-4-6,0.2,0.05
