task_id,task_type,pair_id,graph_A,graph_B,run_idx,question,expected_answer,expected_details,raw_answer,parsed_answer,predicted_answer,criterion_used,overall_correct,model,temperature,seed
S1_p1,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout better protects private spaces from exposure through shared or guest-facing spaces?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""B"", ""criterion_used"": ""Average shortest path distance from shared/guest-facing spaces (living_room, dining_room, hall) to private spaces (bedrooms, bath_room, sleeping_porch) — Layout B scores 2.25 vs Layout A's 2.0, indicating greater separation and better privacy protection""}","{""answer"": ""B"", ""criterion_used"": ""Average shortest path distance from shared/guest-facing spaces (living_room, dining_room, hall) to private spaces (bedrooms, bath_room, sleeping_porch) — Layout B scores 2.25 vs Layout A's 2.0, indicating greater separation and better privacy protection""}",B,"Average shortest path distance from shared/guest-facing spaces (living_room, dining_room, hall) to private spaces (bedrooms, bath_room, sleeping_porch) — Layout B scores 2.25 vs Layout A's 2.0, indicating greater separation and better privacy protection",1,claude-sonnet-4-6,0.2,42
S1_p2,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout gives private rooms less exposure to shared circulation or guest-facing areas?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing spaces (hall, living_room, dining_room) traversed on shortest paths from private rooms to valid entries — Layout A requires passing through 2 shared spaces vs. Layout B's 3, indicating private rooms in A have less exposure to shared circulation""}","{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing spaces (hall, living_room, dining_room) traversed on shortest paths from private rooms to valid entries — Layout A requires passing through 2 shared spaces vs. Layout B's 3, indicating private rooms in A have less exposure to shared circulation""}",A,"Fewer shared/guest-facing spaces (hall, living_room, dining_room) traversed on shortest paths from private rooms to valid entries — Layout A requires passing through 2 shared spaces vs. Layout B's 3, indicating private rooms in A have less exposure to shared circulation",0,claude-sonnet-4-6,0.2,42
S1_p3,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout better avoids routing access to private spaces through shared spaces?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout A averages 2.5 vs Layout B's 2.0 per path, but from the primary front_porch entry Layout A requires only 2 shared-space passes vs Layout B's 3, giving better private-space protection from the main entry.""}","{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout A averages 2.5 vs Layout B's 2.0 per path, but from the primary front_porch entry Layout A requires only 2 shared-space passes vs Layout B's 3, giving better private-space protection from the main entry.""}",A,"Fewer shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout A averages 2.5 vs Layout B's 2.0 per path, but from the primary front_porch entry Layout A requires only 2 shared-space passes vs Layout B's 3, giving better private-space protection from the main entry.",0,claude-sonnet-4-6,0.2,42
S1_p4,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout keeps private spaces more separated from guest-facing paths?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""B"", ""criterion_used"": ""Greater number of shared/guest-facing spaces (living_room, dining_room, hall) that must be traversed from the valid entry (front_porch) before reaching any private space, indicating deeper separation of private zones from guest-facing paths""}","{""answer"": ""B"", ""criterion_used"": ""Greater number of shared/guest-facing spaces (living_room, dining_room, hall) that must be traversed from the valid entry (front_porch) before reaching any private space, indicating deeper separation of private zones from guest-facing paths""}",B,"Greater number of shared/guest-facing spaces (living_room, dining_room, hall) that must be traversed from the valid entry (front_porch) before reaching any private space, indicating deeper separation of private zones from guest-facing paths",1,claude-sonnet-4-6,0.2,42
S1_p5,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout reduces the number of shared spaces someone passes through before reaching private rooms?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""B"", ""criterion_used"": ""Average number of shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout B (2.0) is lower than Layout A (2.5)""}","{""answer"": ""B"", ""criterion_used"": ""Average number of shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout B (2.0) is lower than Layout A (2.5)""}",B,"Average number of shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout B (2.0) is lower than Layout A (2.5)",1,claude-sonnet-4-6,0.2,42
S2_p1,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout is more efficient at reducing bottleneck effects in circulation?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""A"", ""criterion_used"": ""Lower peak betweenness centrality on hall and more distributed choice values across multiple nodes, reducing single-node bottleneck concentration""}","{""answer"": ""A"", ""criterion_used"": ""Lower peak betweenness centrality on hall and more distributed choice values across multiple nodes, reducing single-node bottleneck concentration""}",A,"Lower peak betweenness centrality on hall and more distributed choice values across multiple nodes, reducing single-node bottleneck concentration",0,claude-sonnet-4-6,0.2,42
S2_p2,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout avoids concentrating movement through a single space more effectively?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""B"", ""criterion_used"": ""Lower maximum betweenness centrality (hall: 25.0 vs 37.5), indicating weaker bottleneck effect""}","{""answer"": ""B"", ""criterion_used"": ""Lower maximum betweenness centrality (hall: 25.0 vs 37.5), indicating weaker bottleneck effect""}",B,"Lower maximum betweenness centrality (hall: 25.0 vs 37.5), indicating weaker bottleneck effect",1,claude-sonnet-4-6,0.2,42
S2_p3,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout distributes movement more evenly across the plan?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""A"", ""criterion_used"": ""Normalized betweenness centrality: Layout A distributes movement across more nodes (hall, kitchen, dining_room, living_room, bedrooms, sun_room) with lower peak concentration, indicating a weaker bottleneck effect than Layout B""}","{""answer"": ""A"", ""criterion_used"": ""Normalized betweenness centrality: Layout A distributes movement across more nodes (hall, kitchen, dining_room, living_room, bedrooms, sun_room) with lower peak concentration, indicating a weaker bottleneck effect than Layout B""}",A,"Normalized betweenness centrality: Layout A distributes movement across more nodes (hall, kitchen, dining_room, living_room, bedrooms, sun_room) with lower peak concentration, indicating a weaker bottleneck effect than Layout B",0,claude-sonnet-4-6,0.2,42
S2_p4,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout is less likely to create a circulation bottleneck?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""A"", ""criterion_used"": ""Lower maximum normalized betweenness centrality (hall: 0.682 vs 0.694) and more distributed circulation across multiple nodes""}","{""answer"": ""A"", ""criterion_used"": ""Lower maximum normalized betweenness centrality (hall: 0.682 vs 0.694) and more distributed circulation across multiple nodes""}",A,Lower maximum normalized betweenness centrality (hall: 0.682 vs 0.694) and more distributed circulation across multiple nodes,0,claude-sonnet-4-6,0.2,42
S2_p5,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout avoids over-reliance on one space for movement?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""B"", ""criterion_used"": ""lower peak betweenness centrality (weaker bottleneck through hall)""}","{""answer"": ""B"", ""criterion_used"": ""lower peak betweenness centrality (weaker bottleneck through hall)""}",B,lower peak betweenness centrality (weaker bottleneck through hall),1,claude-sonnet-4-6,0.2,42
